correct_sentence,incorrect_sentences
ඔහු අන්තර්ජාලය පාවිච්චි කරනවා.,ඔයෙහි අන්තර්ජාලය පාවිච්චි කරනවා
ඇය ඊමේල් යවනවා.,ඊමේල් ඇය යවනවා
අපි රැස්වීමකට යනවා.,රැස්වීමකට අපි යනවා
ඔවුන් සාකච්ඡාවක් කරනවා.,ඔවුන් කරනවා සාකච්ඡාවක්
මම ප්‍රශ්නයකට පිළිතුරු දෙනවා.,මම පිළිතුරු ප්\u200dරශ්නයකට දෙනවා
ඔයා උත්තරය දන්නවද?,ඔයා දන්නවද? උත්තරය
ඔහු ගණන් හදනවා.,ඔහු හදනවා ගණන්
ඇය විද්‍යාව ඉගෙනගන්නවා.,ඉගෙනගන්නවා විද්\u200dයාව ඇය
අපි ඉතිහාසය ඉගෙනගන්නවා.,අපි ඉගෙනගන්නවා ඉතිහාසය
ඔවුන් භූගෝල විද්‍යාව ඉගෙනගන්නවා.,ඔවුන් භූගෝල ඉගෙනගන්නවා විද්\u200dයාව
මම ඉංග්‍රීසි කතා කරනවා.,ඉංග්\u200dරීසි මම කතා කරනවා
ඔයා සිංහල කතා කරනවද?,සිංහල ඔයා කතා කරනවද?
ඔහු දෙමළ කතා කරනවා.,දෙමළ ඔහු කතා කරනවා
ඇය ප්‍රංශ කතා කරනවා.,ඇය කරනවා කතා ප්\u200dරංශ
අපි ජර්මන් කතා කරනවා.,කරනවා ජර්මන් කතා අපි
ඔවුන් චීන කතා කරනවා.,කතා චීන ඔවුන් කරනවා
මම ගමන් යනවා.,යනවා ගමන් මම
ඔයා සංචාරය කරනවද?,කරනවද? සංචාරය ඔයා
ඔහු විදේශගත වෙනවා.,ඔහු වෙනවා විදේශගත
ඇය රට වටා යනවා.,ඇය වටා රට යනවා
අපි ලෝකය වටා යනවා.,යනවා ලෝකය වටා අපි
ඔවුන් අභ්‍යවකාශයට යනවා.,අභ්\u200dයවකාශයට ඔවුන් යනවා
මම සිහිනයක් දකිනවා.,මම දකිනවා සිහිනයක්
ඔයා බියකරු සිහිනයක් දැක්කද?,බියකරු ඔයා සිහිනයක් දැක්කද?
ඔහු හොඳ සිහිනයක් දකිනවා.,ඔති හොඳ සිහිනයක් දකිනවා
ඇය අතීතය ගැන හිතනවා.,අතීතය ඇය ගැන හිතනවා
අපි අනාගතය ගැන කතා කරනවා.,අපි ගැන අනාගතය කතා කරනවා
ඔවුන් වර්තමානය භුක්ති විඳිනවා.,ඔවුන් විඳිනවා භුක්ති වර්තමානය
මම සංගීතයට සවන් දෙනවා.,සංගීතයට මම සවන් දෙනවා
ඔයා ගීත ගායනා කරනවද?,ගීත ඔයා ගායනා කරනවද?
ඔහු නර්තනය කරනවා.,ඔයි නර්තනය කරනවා
ඇය චිත්‍ර අඳිනවා.,අඳිනවා චිත්\u200dර ඇය
අපි ක්‍රීඩා කරනවා.,කරනවා ක්\u200dරීඩා අපි
ඔවුන් සිනමා බලනවා.,බලනවා සිනමා ඔවුන්
මම පොත් කියවනවා.,මම කියවනවා පොත්
ඔයා පත්තර කියවනවද?,පත්තර ඔයා කියවනවද?
ඔහු සඟරා කියවනවා.,කියවනවා සඟරා ඔහු
ඇය කවි ලියනවා.,කවි ඇය ලියනවා
අපි කතා ලියනවා.,කතා අපි ලියනවා
ඔවුන් නවකතා ලියනවා.,ඔවුන් ලියනවා නවකතා
මම උදව් කරනවා.,මම කරනවා උදව්
ඔයා උදව් ඉල්ලනවද?,ඔයා ඉල්ලනවද? උදව්
ඔහු අනුන්ට උදව් කරනවා.,ඔමු අනුන්ට උදව් කරනවා
ඇය දුප්පතුන්ට උදව් කරනවා.,ඇය දුප්පතුන්ට කරනවා උදව්
අපි රටට උදව් කරනවා.,අපි රටට කරනවා උදව්
ඔවුන් ලෝකයට උදව් කරනවා.,ඔවුන් කරනවා උදව් ලෝකයට
මම ප්‍රේම කරනවා.,ප්\u200dරේම මම කරනවා
ඔයා ආදරය කරනවද?,ඔයා කරනවද? ආදරය
ඔහු ඇයට ආදරය කරනවා.,ඔති ඇයට ආදරය කරනවා
ඇය ඔහුට ආදරය කරනවා.,ඇය ඔහුට කරනවා ආදරය
අපි එකිනෙකාට ආදරය කරනවා.,ආදරය එකිනෙකාට අපි කරනවා
ඔවුන් සතුන්ට ආදරය කරනවා.,ආදරය සතුන්ට ඔවුන් කරනවා
මම සතුටින් ඉන්නවා.,මම ඉන්නවා සතුටින්
ඔයා දුකින් ඉන්නවද?,දුකින් ඔයා ඉන්නවද?
ඔහු සෞඛ්‍ය සම්පන්නව ඉන්නවා.,ඔහි සෞඛ්\u200dය සම්පන්නව ඉන්නවා
ඇය සාර්ථකව ඉන්නවා.,සාර්ථකව ඇය ඉන්නවා
අපි එකට ඉන්නවා.,අපි ඉන්නවා එකට
ඔවුන් සතුටින් ජීවත් වෙනවා.,ඔවුන් සතුටින් වෙනවා ජීවත්
මම ප්‍රශ්න අහනවා.,මම අහනවා ප්\u200dරශ්න
ඔයා පිළිතුරු දෙනවද?,දෙනවද? පිළිතුරු ඔයා
ඔහු පාඩම් කරනවා.,ඔයි පාඩම් කරනවා
ඇය විභාගයට ලෑස්ති වෙනවා.,ඇය වෙනවා ලෑස්ති විභාගයට
අපි වැඩ කරනවා.,අපි කරනවා වැඩ
ඔවුන් මුදල් උපයනවා.,උපයනවා මුදල් ඔවුන්
මම ගෙයක් හදනවා.,හදනවා ගෙයක් මම
ඔයා කාර් එකක් පදවනවද?,ඔයා කාර් පදවනවද? එකක්
ඔහු බයිසිකලයක් පදවනවා.,ඔහු පදවනවා බයිසිකලයක්
ඇය බස් එකක් පදවනවා.,බස් ඇය එකක් පදවනවා
අපි දුම්රියක් පදවනවා.,දුම්රියක් අපි පදවනවා
ඔවුන් ගුවන් යානයක් පදවනවා.,යානයක් ගුවන් ඔවුන් පදවනවා
මම සිංහල ඉගෙනගන්නවා.,සිංහල මම ඉගෙනගන්නවා
ඔයා ඉංග්‍රීසි ඉගෙනගන්නවද?,ඔයා ඉගෙනගන්නවද? ඉංග්\u200dරීසි
ඔහු දෙමළ ඉගෙනගන්නවා.,ඔයි දෙමළ ඉගෙනගන්නවා
ඇය ප්‍රංශ ඉගෙනගන්නවා.,ප්\u200dරංශ ඇය ඉගෙනගන්නවා
අපි ජපන් ඉගෙනගන්නවා.,අපි ඉගෙනගන්නවා ජපන්
ඔවුන් චීන ඉගෙනගන්නවා.,ඔවුන් ඉගෙනගන්නවා චීන
මම අලුත් දෙයක් ඉගෙනගන්නවා.,ඉගෙනගන්නවා අලුත් දෙයක් මම
ඔයා අභියෝගයකට මුහුණ දෙනවද?,ඔයා මුහුණ අභියෝගයකට දෙනවද?
ඔහු අනාගතය ගැන හිතනවා.,ඔයි අනාගතය ගැන හිතනවා
ඇය අතීතය සිහිපත් කරනවා.,ඇය අතීතය කරනවා සිහිපත්
අපි වර්තමානය භුක්ති විඳිනවා.,අපි වර්තමානය භුක්මි විඳිනවා
ඔවුන් සිහින දකිනවා.,ඔවුන් දකිනවා සිහින
මම බලාපොරොත්තු තියාගන්නවා.,බලාපොරොත්තු මම තියාගන්නවා
ඔයා විශ්වාස කරනවද?,ඔයා කරනවද? විශ්වාස
ඔහු උත්සාහ කරනවා.,ඔමි උත්සාහ කරනවා
ඇය කැපවීමෙන් වැඩ කරනවා.,ඇය වැඩ කැපවීමෙන් කරනවා
අපි සහයෝගයෙන් වැඩ කරනවා.,අපි වැඩ සහයෝගයෙන් කරනවා
ඔවුන් සාමයෙන් ජීවත් වෙනවා.,ජීවත් සාමයෙන් ඔවුන් වෙනවා
මම ලියුමක් ලියනවා.,මම ලියනවා ලියුමක්
ඔයා පණිවිඩයක් යවනවද?,යවනවද? පණිවිඩයක් ඔයා
ඔහු දුරකථන ඇමතුමක් ගන්නවා.,ඔහු ගන්නවා ඇමතුමක් දුරකථන
ඇය ඊමේලයක් ලියනවා.,ඇය ලියනවා ඊමේලයක්
අපි රැස්වීමක් සංවිධානය කරනවා.,අපි කරනවා සංවිධානය රැස්වීමක්
ඔවුන් සාකච්ඡාවක් පවත්වනවා.,පවත්වනවා සාකච්ඡාවක් ඔවුන්
මම අදහස් බෙදාගන්නවා.,බෙදාගන්නවා අදහස් මම
ඔයා ප්‍රශ්න අහනවද?,ඔයා අහනවද? ප්\u200dරශ්න
ඔහු පිළිතුරු සපයනවා.,ඔහි පිළිතුරු සපයනවා
ඇය පැහැදිලි කරනවා.,පැහැදිලි ඇය කරනවා
අපි තොරතුරු සොයනවා.,සොයනවා තොරතුරු අපි
ඔවුන් දැනුම බෙදාගන්නවා.,ඔවුන් බෙදාගන්නවා දැනුම
මම අලුත් දෙයක් නිර්මාණය කරනවා.,මම අලුත් දෙයක් කරනවා නිර්මාණය
ඔයා අලුත් තාක්ෂණය ඉගෙනගන්නවද?,ඔයා තාක්ෂණය අලුත් ඉගෙනගන්නවද?
ඔහු විද්‍යාත්මක පර්යේෂණ කරනවා.,ඔහු කරනවා පර්යේෂණ විද්\u200dයාත්මක
ඇය කලාත්මක නිර්මාණ කරනවා.,කලාත්මක ඇය නිර්මාණ කරනවා
අපි සංස්කෘතිය ආරක්ෂා කරනවා.,අපි ආරක්ෂා සංස්කෘතිය කරනවා
මම වෙළඳසැලට යනවා.,මම යනවා වෙළඳසැලට
ඔයා කඩේට යනවද?,කඩේට ඔයා යනවද?
ඔහු සුපිරි වෙළඳසැලට යනවා.,ඔහු යනවා වෙළඳසැලට සුපිරි
ඇය ඔසුසලට යනවා.,ඔසුසලට ඇය යනවා
අපි බැංකුවට යනවා.,අපි යනවා බැංකුවට
ඔවුන් තැපැල් කාර්යාලයට යනවා.,කාර්යාලයට තැපැල් ඔවුන් යනවා
මම පොලිසියට යනවා.,යනවා පොලිසියට මම
ඔයා රෝහලට යනවද?,යනවද? රෝහලට ඔයා
ඔහු පාසලට යනවා.,යනවා පාසලට ඔහු
ඇය විශ්වවිද්‍යාලයට යනවා.,විශ්වවිද්\u200dයාලයට ඇය යනවා
අපි පන්සලට යනවා.,පන්සලට අපි යනවා
ඔවුන් පල්ලියට යනවා.,යනවා පල්ලියට ඔවුන්
මම මුස්ලිම් පල්ලියට යනවා.,මම යනවා පල්ලියට මුස්ලිම්
ඔයා කෝවිලට යනවද?,කෝවිලට ඔයා යනවද?
ඔහු කෞතුකාගාරයට යනවා.,ඔහු යනවා කෞතුකාගාරයට
ඇය චිත්‍ර ප්‍රදර්ශනයට යනවා.,යනවා චිත්\u200dර ප්\u200dරදර්ශනයට ඇය
අපි සිනමා ශාලාවට යනවා.,අපි ශාලාවට සිනමා යනවා
ඔවුන් රඟහලට යනවා.,රඟහලට ඔවුන් යනවා
මම ක්‍රීඩාංගනයට යනවා.,මම යනවා ක්\u200dරීඩාංගනයට
ඔයා උද්‍යානයට යනවද?,උද්\u200dයානයට ඔයා යනවද?
ඔහු කඳුකරයට යනවා.,ඔයෙහි කඳුකරයට යනවා
ඇය මුහුදු වෙරළට යනවා.,වෙරළට මුහුදු ඇය යනවා
අපි ගඟ ළඟට යනවා.,අපි ගඟ යනවා ළඟට
ඔවුන් වැව ළඟට යනවා.,ඔවුන් වැව යනවා ළඟට
මම වනාන්තරයට යනවා.,මම යනවා වනාන්තරයට
ඔයා ගොවිපොළට යනවද?,ඔයා යනවද? ගොවිපොළට
ඔහු ගෙදරට යනවා.,ඔති ගෙදරට යනවා
ඇය කාර්යාලයට යනවා.,කාර්යාලයට ඇය යනවා
අපි නගරයට යනවා.,යනවා නගරයට අපි
ඔවුන් ගමට යනවා.,ගමට ඔවුන් යනවා
මම සංගීත භාණ්ඩයක් වාදනය කරනවා.,භාණ්ඩයක් සංගීත මම වාදනය කරනවා
ඔයා ගිටාරය වාදනය කරනවද?,කරනවද? ගිටාරය වාදනය ඔයා
ඔහු පියානෝව වාදනය කරනවා.,වාදනය පියානෝව ඔහු කරනවා
ඇය වයලීනය වාදනය කරනවා.,වයලීනය ඇය වාදනය කරනවා
අපි බෙර වාදනය කරනවා.,වාදනය බෙර අපි කරනවා
ඔවුන් හොරණෑව වාදනය කරනවා.,වාදනය හොරණෑව ඔවුන් කරනවා
මම පින්තූරයක් අඳිනවා.,අඳිනවා පින්තූරයක් මම
ඔයා චිත්‍රයක් අඳිනවද?,අඳිනවද? චිත්\u200dරයක් ඔයා
ඔහු භූ දර්ශනයක් අඳිනවා.,ඔහු භූ අඳිනවා දර්ශනයක්
ඇය ආලේඛ්‍ය චිත්‍රයක් අඳිනවා.,අඳිනවා ආලේඛ්\u200dය චිත්\u200dරයක් ඇය
අපි සිතියමක් අඳිනවා.,අඳිනවා සිතියමක් අපි
ඔවුන් ග්‍රැෆිටි අඳිනවා.,ග්\u200dරැෆිටි ඔවුන් අඳිනවා
මම කතාවක් කියවනවා.,කතාවක් මම කියවනවා
ඔයා නවකතාවක් කියවනවද?,ඔයා කියවනවද? නවකතාවක්
ඔහු පුවත්පතක් කියවනවා.,පුවත්පතක් ඔහු කියවනවා
ඇය සඟරාවක් කියවනවා.,කියවනවා සඟරාවක් ඇය
අපි කවි පොතක් කියවනවා.,කියවනවා කවි පොතක් අපි
ඔවුන් ළමා කතා කියවනවා.,ළමා ඔවුන් කතා කියවනවා
මම ලිපියක් ලියනවා.,මම ලියනවා ලිපියක්
ඔයා ඊමේලයක් ලියනවද?,ඔයා ලියනවද? ඊමේලයක්
ඔහු වාර්තාවක් ලියනවා.,ඔහු ලියනවා වාර්තාවක්
ඇය රචනාවක් ලියනවා.,රචනාවක් ඇය ලියනවා
අපි කවියක් ලියනවා.,අපි ලියනවා කවියක්
ඔවුන් ගීතයක් ලියනවා.,ලියනවා ගීතයක් ඔවුන්
මම වැඩ කරනවා.,වැඩ මම කරනවා
ඔයා මොන වැඩද කරන්නේ?,ඔයා කරන්නේ? වැඩද මොන
ඔහු කාර්යාලයේ වැඩ කරනවා.,කරනවා කාර්යාලයේ වැඩ ඔහු
ඇය නිවසේ වැඩ කරනවා.,වැඩ නිවසේ ඇය කරනවා
අපි පාසලේ වැඩ කරනවා.,අපි කරනවා වැඩ පාසලේ
ඔවුන් කර්මාන්ත ශාලාවේ වැඩ කරනවා.,කර්මාන්ත ඔවුන් ශාලාවේ වැඩ කරනවා
මම ඉගෙනගන්නවා.,ඉගෙනගන්නවා මම
ඔයා මොනවද ඉගෙනගන්නේ?,ඉගෙනගන්නේ? මොනවද ඔයා
ඔහු සිංහල ඉගෙනගන්නවා.,ඔයි සිංහල ඉගෙනගන්නවා
ඇය ඉංග්‍රීසි ඉගෙනගන්නවා.,ඉංග්\u200dරීසි ඇය ඉගෙනගන්නවා
අපි පරිගණක විද්‍යාව ඉගෙනගන්නවා.,ඉගෙනගන්නවා පරිගණක විද්\u200dයාව අපි
ඔවුන් වෛද්‍ය විද්‍යාව ඉගෙනගන්නවා.,ඔවුන් වෛද්\u200dය ඉගෙනගන්නවා විද්\u200dයාව
මම කෑම උයනවා.,කෑම මම උයනවා
ඔයා මොනවද උයන්නේ?,මොනවද ඔයා උයන්නේ?
ඔහු බත් උයනවා.,ඔයි බත් උයනවා
ඇය ව්‍යංජන උයනවා.,ව්\u200dයංජන ඇය උයනවා
අපි පාන් උයනවා.,උයනවා පාන් අපි
ඔවුන් කේක් උයනවා.,කේක් ඔවුන් උයනවා
මම ගෙයක් හදනවා.,ගෙයක් මම හදනවා
ඔයා මොනවද හදන්නේ?,මොනවද ඔයා හදන්නේ?
ඔහු පාලමක් හදනවා.,හදනවා පාලමක් ඔහු
ඇය පාරක් හදනවා.,පාරක් ඇය හදනවා
අපි ගොඩනැගිල්ලක් හදනවා.,හදනවා ගොඩනැගිල්ලක් අපි
ඔවුන් හෝටලයක් හදනවා.,හදනවා හෝටලයක් ඔවුන්
මම ගමනක් යනවා.,ගමනක් මම යනවා
ඔයා කොහෙද යන්නේ?,කොහෙද ඔයා යන්නේ?
ඔහු නුවර යනවා.,ඔයි නුවර යනවා
ඇය කොළඹ යනවා.,කොළඹ ඇය යනවා
අපි ගාල්ල යනවා.,යනවා ගාල්ල අපි
ඔවුන් යාපනය යනවා.,යනවා යාපනය ඔවුන්
මම සතුටු වෙනවා.,සතුටු මම වෙනවා
ඔයා සතුටින්ද?,සතුටින්ද? ඔයා
ඔහු දුකින් ඉන්නවා.,ඔති දුකින් ඉන්නවා
ඇය තරහින් ඉන්නවා.,තරහින් ඇය ඉන්නවා
